id,sexo,edad,califica_presidente,califica_gobernador,distance_Km,nse,candidatos_gober_3,df
708,H,32,1,9,12.71209741,C,Otro,4
710,M,50,8,8,12.75574759,C+,JDM,4
791,H,66,10,1,8.268412878,D,JDM,3
788,M,48,7,10,8.320585298,D,RBC,3
837,H,52,1,6,10.35885376,C+,Otro,4
834,H,42,10,7,10.19377212,C+,JDM,4
464,M,74,10,8,9.910028509,D,JDM,4
471,M,39,5,3,9.688205937,D,JDM,4
801,M,64,1,9,10.79373527,D,Otro,4
746,M,62,8,9,15.61955155,D,RBC,4
778,M,53,1,7,11.16951253,D,RBC,4
451,M,58,10,9,5.645179799,N/D,JDM,6
683,H,69,10,5,11.76806499,N/D,JDM,4
615,M,65,10,8,6.083310659,N/D,JDM,3
721,H,45,10,6,5.268215768,N/D,RBC,6
891,H,33,10,10,12.52824358,N/D,RBC,4
894,H,28,9,7,12.63615834,N/D,RBC,4
269,M,19,5,8,178.6951625,D,RBC,1
285,H,25,10,6,178.7638194,D,JDM,1
66,M,24,8,10,26.79994009,D,JDM,5
65,M,75,9,8,26.81287427,D,JDM,5
63,M,29,8,8,26.80978134,D,Otro,5
406,M,21,10,10,7.084335842,D,RBC,6
388,M,38,5,10,7.069313145,D,RBC,6
392,M,64,9,10,7.025141783,D,Otro,6
425,M,64,9,10,7.024656907,D,RBC,6
400,M,31,10,10,7.084767252,D,JDM,6
403,M,35,8,8,7.090338594,D,RBC,6
424,M,55,8,7,7.090000684,D,RBC,6
404,M,37,8,5,7.086829995,D,JDM,6
396,M,30,9,9,6.91787719,D,RBC,6
